screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
03E,09,Menu ocupacion oficio,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_09_MENU_OCUPACION_OFICIO_CANDIDATA.png,a97331f8f9d5906245b689a4f51c993bb45fefa2e2aff15b9383adc72ae60236
03E,10,Menu profesion,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_10_MENU_PROFESION_CANDIDATA.png,6f362cb907373df3d972bfd588a2b855e82d8d761f99d39077d7c4cb9158d083
03E,11,Menu origen ingresos,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_11_MENU_ORIGEN_INGRESOS_CANDIDATA.png,2253283a8dec6964b9d27d451ce882d2867d69a18d2b19c670962acec76f2bec
03E,13,Datos completos PEP pendiente,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_13_DATOS_COMPLETOS_PEP_PENDIENTE_CANDIDATA.png,436d92f48b0c8bb53f2dd83b0709ee8cb3d22e63d4b5b3729c1915bc05ee5c7a
03E,14,Lista PEP no,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_14_LISTA_PEP_NO_CANDIDATA.png,2ea224ef87839209ffbc2f666d5cd20ad722f83c1078e4b568bbd1e424ceb8fb
03E,15,Lista PEP si,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_15_LISTA_PEP_SI_CANDIDATA.png,6c87ae0e955854f104c1c02bf29dc17e5348a64e2d4d0925e9a17f26a0fc2c37
03E,16,Campo obligatorio faltante,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_16_CAMPO_OBLIGATORIO_FALTANTE_CANDIDATA.png,aef6078a4cd6b2f9df77374ac1039dbccd472ac44e335546ab50fc0a4b4a7695
03E,17,Empresa condicional faltante,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_17_EMPRESA_CONDICIONAL_FALTANTE_CANDIDATA.png,4fbcc9cfa4e37b76e34484915c515ec7a9be3aa4d18b0713f45e0d32226a0e11
03E,18,Ingreso no valido,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_18_INGRESO_NO_VALIDO_CANDIDATA.png,9a342f13bbad6b93f8bbca78973c09da3781aa94010f62fbcb20b435f1f410a2
03E,19,Validando PEP no,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_19_VALIDANDO_PEP_NO_CANDIDATA.png,048d932074ea00bb4ae2ccf6245a82e57c1a19b8e9cfa9b528716049f45211c6
03E,20,Registrando revision PEP si,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_03E_20_REGISTRANDO_REVISION_PEP_SI_CANDIDATA.png,79cfd373e883205a7a3458909fb723fed365932d3d27a729f932372593b4d19b
03E1,12,Que significa PEP,CANDIDATA,False,detail_view,assets/screens/candidatas/PANTALLA_03E1_12_QUE_SIGNIFICA_PEP_CANDIDATA.png,454a87743cfc918b03b250c1b52788868ebfc3ce438690b532cb61eec99e3675
03E2,21,Revision manual registrada,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03E2_21_REVISION_MANUAL_REGISTRADA_APROBADA_FINAL.png,861982e1d2bcc5830a04495196a46b19f197fdd70198f9a46c5e0bb05fd2b855
03E2A,22,Confirmar cierre sesion,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03E2A_22_CONFIRMAR_CIERRE_SESION_APROBADA_FINAL.png,260b0a7c31d72f4fb51dad01a2cce73a5d1702321200033cc364288921045158
03E2B,22,Error registro revision,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03E2B_22_ERROR_REGISTRO_REVISION_APROBADA_FINAL.png,58f314ade1dbc09b057c56f46f8693fec261e27d31801760db088001b0e1ae30
04A,00,Datos y declaraciones,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_04A_00_DATOS_Y_DECLARACIONES_APROBADA_FINAL.png,5a62db770b2be916b88c4b74cb022f5e3b9f0a88f38043ef4afd3b1bf6749ecc
04A1,00,Evaluacion manual medica,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_04A1_00_EVALUACION_MANUAL_MEDICA_APROBADA_FINAL.png,4f07d2faa1f0e9d0543c7d21f71e0f5d2b57cabebfcc5041d6a70fffeb2e2718
04D,00,Consentimientos,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_04D_00_CONSENTIMIENTOS_APROBADA_FINAL.png,3de389ccb1c8b5cf9eb08f2a47efa69d4972b987a7bd6f4ac8fe9bf0a4a97d66
